Table with column headers in row 3,,,
"Table:  County SNAP benefits recipients
Source:  U.S. Census Bureau, Small Area Estimates Branch
Release Date:  December 2021",,,
State FIPS code,County FIPS code,Name,July 2013
13,081,"Crisp County, GA"," 6,851 "
13,083,"Dade County, GA"," 2,188 "
13,085,"Dawson County, GA"," 2,571 "
13,087,"Decatur County, GA"," 8,446 "
13,089,"DeKalb County, GA"," 147,787 "
13,091,"Dodge County, GA"," 4,648 "
13,093,"Dooly County, GA"," 2,763 "
13,095,"Dougherty County, GA"," 35,073 "
13,097,"Douglas County, GA"," 24,997 "
13,099,"Early County, GA"," 3,723 "
13,101,"Echols County, GA", 859 
13,103,"Effingham County, GA"," 6,815 "
13,105,"Elbert County, GA"," 4,897 "
13,107,"Emanuel County, GA"," 6,254 "
13,109,"Evans County, GA"," 2,640 "
13,111,"Fannin County, GA"," 3,734 "
13,113,"Fayette County, GA"," 7,195 "
13,115,"Floyd County, GA"," 18,882 "
13,117,"Forsyth County, GA"," 7,526 "
13,119,"Franklin County, GA"," 4,795 "
13,121,"Fulton County, GA"," 178,133 "
13,123,"Gilmer County, GA"," 4,675 "
13,125,"Glascock County, GA", 589 
13,127,"Glynn County, GA"," 16,020 "
13,129,"Gordon County, GA"," 9,682 "
13,131,"Grady County, GA"," 5,791 "
13,133,"Greene County, GA"," 3,534 "
13,135,"Gwinnett County, GA"," 109,733 "
13,137,"Habersham County, GA"," 6,221 "
13,139,"Hall County, GA"," 30,792 "
13,141,"Hancock County, GA"," 2,469 "
13,143,"Haralson County, GA"," 6,474 "
13,145,"Harris County, GA"," 2,600 "
13,147,"Hart County, GA"," 5,028 "
13,149,"Heard County, GA"," 2,682 "
13,151,"Henry County, GA"," 26,834 "
13,153,"Houston County, GA"," 26,024 "
13,155,"Irwin County, GA"," 2,362 "
13,157,"Jackson County, GA"," 9,080 "
13,159,"Jasper County, GA"," 2,966 "
13,161,"Jeff Davis County, GA"," 3,746 "
13,163,"Jefferson County, GA"," 5,070 "
